ID,Text,Sentiment
608,"The service was outstanding, I am very satisfied.",Positive
609,Highly recommended! Exceeded my expectations.,Positive
610,"Fantastic quality, I will definitely buy again.",Positive
611,"Worst decision ever, I would not recommend this.",Negative
612,"Poor quality and bad service, not worth the money.",Negative
613,"A total waste of money, do not buy this.",Negative
614,"A total waste of money, do not buy this.",Negative
615,"I am extremely disappointed, this product is awful.",Negative
616,"I absolutely love this product, it works great!",Positive
617,"Fantastic quality, I will definitely buy again.",Positive
618,"A total waste of money, do not buy this.",Negative
619,"The product is average, works as expected.",Neutral
620,"Neither good nor bad, just a normal experience.",Neutral
621,"I absolutely love this product, it works great!",Positive
622,This is the best purchase I have made in a long time.,Positive
623,"This was a terrible experience, I regret it completely.",Negative
624,"I am extremely disappointed, this product is awful.",Negative
625,"This was a terrible experience, I regret it completely.",Negative
626,"Decent quality, but nothing extraordinary.",Neutral
627,Highly recommended! Exceeded my expectations.,Positive
628,"I absolutely love this product, it works great!",Positive
629,"Neither good nor bad, just a normal experience.",Neutral
630,"I am extremely disappointed, this product is awful.",Negative
631,"The service was outstanding, I am very satisfied.",Positive
632,"The service was outstanding, I am very satisfied.",Positive
633,"This was a terrible experience, I regret it completely.",Negative
634,"A total waste of money, do not buy this.",Negative
635,"The service was outstanding, I am very satisfied.",Positive
636,This is the best purchase I have made in a long time.,Positive
637,"It's okay, nothing special but not bad either.",Neutral
638,"It's okay, nothing special but not bad either.",Neutral
639,"The service was outstanding, I am very satisfied.",Positive
640,"A total waste of money, do not buy this.",Negative
641,Highly recommended! Exceeded my expectations.,Positive
642,"The product is average, works as expected.",Neutral
643,"I am extremely disappointed, this product is awful.",Negative
644,"Worst decision ever, I would not recommend this.",Negative
645,"An average experience, not much to say.",Neutral
646,"Worst decision ever, I would not recommend this.",Negative
647,"Fantastic quality, I will definitely buy again.",Positive
648,"This was a terrible experience, I regret it completely.",Negative
649,Highly recommended! Exceeded my expectations.,Positive
650,This is the best purchase I have made in a long time.,Positive
651,"It's okay, nothing special but not bad either.",Neutral
652,"An average experience, not much to say.",Neutral
653,"A total waste of money, do not buy this.",Negative
654,"The service was outstanding, I am very satisfied.",Positive
655,Highly recommended! Exceeded my expectations.,Positive
656,"An average experience, not much to say.",Neutral
657,"Decent quality, but nothing extraordinary.",Neutral
658,"It's okay, nothing special but not bad either.",Neutral
659,This is the best purchase I have made in a long time.,Positive
660,This is the best purchase I have made in a long time.,Positive
661,"The product is average, works as expected.",Neutral
662,"I absolutely love this product, it works great!",Positive
663,"I absolutely love this product, it works great!",Positive
664,"I absolutely love this product, it works great!",Positive
665,"Worst decision ever, I would not recommend this.",Negative
666,"This was a terrible experience, I regret it completely.",Negative
667,"This was a terrible experience, I regret it completely.",Negative
668,"This was a terrible experience, I regret it completely.",Negative
669,"The product is average, works as expected.",Neutral
670,"I am extremely disappointed, this product is awful.",Negative
671,"An average experience, not much to say.",Neutral
672,Highly recommended! Exceeded my expectations.,Positive
673,"Worst decision ever, I would not recommend this.",Negative
674,"A total waste of money, do not buy this.",Negative
675,"Poor quality and bad service, not worth the money.",Negative
676,"The product is average, works as expected.",Neutral
677,"I am extremely disappointed, this product is awful.",Negative
678,"Worst decision ever, I would not recommend this.",Negative
679,"Fantastic quality, I will definitely buy again.",Positive
680,"Worst decision ever, I would not recommend this.",Negative
681,"The service was outstanding, I am very satisfied.",Positive
682,"A total waste of money, do not buy this.",Negative
683,"The service was outstanding, I am very satisfied.",Positive
684,"This was a terrible experience, I regret it completely.",Negative
685,"Poor quality and bad service, not worth the money.",Negative
686,"I absolutely love this product, it works great!",Positive
687,"An average experience, not much to say.",Neutral
688,"Fantastic quality, I will definitely buy again.",Positive
689,"The service was outstanding, I am very satisfied.",Positive
690,"Worst decision ever, I would not recommend this.",Negative
691,"Neither good nor bad, just a normal experience.",Neutral
692,"I absolutely love this product, it works great!",Positive
693,"Fantastic quality, I will definitely buy again.",Positive
694,"Neither good nor bad, just a normal experience.",Neutral
695,This is the best purchase I have made in a long time.,Positive
696,Highly recommended! Exceeded my expectations.,Positive
697,"The service was outstanding, I am very satisfied.",Positive
698,"The service was outstanding, I am very satisfied.",Positive
699,"It's okay, nothing special but not bad either.",Neutral
700,"Decent quality, but nothing extraordinary.",Neutral
701,"Poor quality and bad service, not worth the money.",Negative
702,"An average experience, not much to say.",Neutral
703,"A total waste of money, do not buy this.",Negative
704,"Poor quality and bad service, not worth the money.",Negative
705,"An average experience, not much to say.",Neutral
706,"Neither good nor bad, just a normal experience.",Neutral
707,This is the best purchase I have made in a long time.,Positive
708,"Decent quality, but nothing extraordinary.",Neutral
709,"Worst decision ever, I would not recommend this.",Negative
710,"Poor quality and bad service, not worth the money.",Negative
711,"I am extremely disappointed, this product is awful.",Negative
712,"Decent quality, but nothing extraordinary.",Neutral
713,"I absolutely love this product, it works great!",Positive
714,"It's okay, nothing special but not bad either.",Neutral
715,"Fantastic quality, I will definitely buy again.",Positive
716,"This was a terrible experience, I regret it completely.",Negative
717,"I absolutely love this product, it works great!",Positive
718,"The service was outstanding, I am very satisfied.",Positive
719,"Neither good nor bad, just a normal experience.",Neutral
720,"Worst decision ever, I would not recommend this.",Negative
721,Highly recommended! Exceeded my expectations.,Positive
722,"Fantastic quality, I will definitely buy again.",Positive
723,"I absolutely love this product, it works great!",Positive
724,"A total waste of money, do not buy this.",Negative
725,This is the best purchase I have made in a long time.,Positive
726,Highly recommended! Exceeded my expectations.,Positive
727,This is the best purchase I have made in a long time.,Positive
728,"This was a terrible experience, I regret it completely.",Negative
729,"The service was outstanding, I am very satisfied.",Positive
730,Highly recommended! Exceeded my expectations.,Positive
731,This is the best purchase I have made in a long time.,Positive
732,Highly recommended! Exceeded my expectations.,Positive
733,"The product is average, works as expected.",Neutral
734,This is the best purchase I have made in a long time.,Positive
735,"Worst decision ever, I would not recommend this.",Negative
736,"It's okay, nothing special but not bad either.",Neutral
737,"This was a terrible experience, I regret it completely.",Negative
738,"Decent quality, but nothing extraordinary.",Neutral
739,"The product is average, works as expected.",Neutral
740,"A total waste of money, do not buy this.",Negative
741,"I am extremely disappointed, this product is awful.",Negative
742,"The service was outstanding, I am very satisfied.",Positive
743,"An average experience, not much to say.",Neutral
744,"An average experience, not much to say.",Neutral
745,"The product is average, works as expected.",Neutral
746,"Worst decision ever, I would not recommend this.",Negative
747,"Poor quality and bad service, not worth the money.",Negative
748,Highly recommended! Exceeded my expectations.,Positive
749,"An average experience, not much to say.",Neutral
750,"Neither good nor bad, just a normal experience.",Neutral
751,"The service was outstanding, I am very satisfied.",Positive
752,"I absolutely love this product, it works great!",Positive
753,"Fantastic quality, I will definitely buy again.",Positive
754,"Poor quality and bad service, not worth the money.",Negative
755,Highly recommended! Exceeded my expectations.,Positive
756,"Fantastic quality, I will definitely buy again.",Positive
757,"This was a terrible experience, I regret it completely.",Negative
758,"The service was outstanding, I am very satisfied.",Positive
759,"It's okay, nothing special but not bad either.",Neutral
760,"This was a terrible experience, I regret it completely.",Negative
761,Highly recommended! Exceeded my expectations.,Positive
762,"Neither good nor bad, just a normal experience.",Neutral
763,"Decent quality, but nothing extraordinary.",Neutral
764,"Worst decision ever, I would not recommend this.",Negative
765,This is the best purchase I have made in a long time.,Positive
766,"An average experience, not much to say.",Neutral
767,"Worst decision ever, I would not recommend this.",Negative
768,Highly recommended! Exceeded my expectations.,Positive
769,This is the best purchase I have made in a long time.,Positive
770,Highly recommended! Exceeded my expectations.,Positive
771,"An average experience, not much to say.",Neutral
772,"Worst decision ever, I would not recommend this.",Negative
773,Highly recommended! Exceeded my expectations.,Positive
774,"Neither good nor bad, just a normal experience.",Neutral
775,"I absolutely love this product, it works great!",Positive
776,"I absolutely love this product, it works great!",Positive
777,"Poor quality and bad service, not worth the money.",Negative
778,"An average experience, not much to say.",Neutral
779,"I am extremely disappointed, this product is awful.",Negative
780,"The product is average, works as expected.",Neutral
781,"Poor quality and bad service, not worth the money.",Negative
782,"A total waste of money, do not buy this.",Negative
783,Highly recommended! Exceeded my expectations.,Positive
784,"Worst decision ever, I would not recommend this.",Negative
785,"Worst decision ever, I would not recommend this.",Negative
786,"The service was outstanding, I am very satisfied.",Positive
787,"It's okay, nothing special but not bad either.",Neutral
788,This is the best purchase I have made in a long time.,Positive
789,"This was a terrible experience, I regret it completely.",Negative
790,"Fantastic quality, I will definitely buy again.",Positive
791,"The product is average, works as expected.",Neutral
792,"It's okay, nothing special but not bad either.",Neutral
793,"This was a terrible experience, I regret it completely.",Negative
794,"Worst decision ever, I would not recommend this.",Negative
795,"The service was outstanding, I am very satisfied.",Positive
796,"I absolutely love this product, it works great!",Positive
797,"Decent quality, but nothing extraordinary.",Neutral
798,This is the best purchase I have made in a long time.,Positive
799,"The product is average, works as expected.",Neutral
800,"A total waste of money, do not buy this.",Negative
801,"Neither good nor bad, just a normal experience.",Neutral
802,"The product is average, works as expected.",Neutral
803,"Neither good nor bad, just a normal experience.",Neutral
804,This is the best purchase I have made in a long time.,Positive
805,"It's okay, nothing special but not bad either.",Neutral
806,"This was a terrible experience, I regret it completely.",Negative
807,"The product is average, works as expected.",Neutral
808,"An average experience, not much to say.",Neutral
809,"Neither good nor bad, just a normal experience.",Neutral
810,"A total waste of money, do not buy this.",Negative
811,"Worst decision ever, I would not recommend this.",Negative
812,"I am extremely disappointed, this product is awful.",Negative
813,"An average experience, not much to say.",Neutral
814,"I am extremely disappointed, this product is awful.",Negative
815,"I absolutely love this product, it works great!",Positive
816,"The service was outstanding, I am very satisfied.",Positive
817,"I absolutely love this product, it works great!",Positive
818,"Worst decision ever, I would not recommend this.",Negative
819,This is the best purchase I have made in a long time.,Positive
820,"Neither good nor bad, just a normal experience.",Neutral
821,"Fantastic quality, I will definitely buy again.",Positive
822,"A total waste of money, do not buy this.",Negative
823,"Fantastic quality, I will definitely buy again.",Positive
824,"Worst decision ever, I would not recommend this.",Negative
825,"Fantastic quality, I will definitely buy again.",Positive
826,"Worst decision ever, I would not recommend this.",Negative
827,"Neither good nor bad, just a normal experience.",Neutral
828,Highly recommended! Exceeded my expectations.,Positive
829,"Fantastic quality, I will definitely buy again.",Positive
830,"A total waste of money, do not buy this.",Negative
831,"Neither good nor bad, just a normal experience.",Neutral
832,"The service was outstanding, I am very satisfied.",Positive
833,"I absolutely love this product, it works great!",Positive
834,"Decent quality, but nothing extraordinary.",Neutral
835,"I absolutely love this product, it works great!",Positive
836,Highly recommended! Exceeded my expectations.,Positive
837,"An average experience, not much to say.",Neutral
838,"This was a terrible experience, I regret it completely.",Negative
839,"I am extremely disappointed, this product is awful.",Negative
840,"Decent quality, but nothing extraordinary.",Neutral
841,"Fantastic quality, I will definitely buy again.",Positive
842,"This was a terrible experience, I regret it completely.",Negative
843,"Neither good nor bad, just a normal experience.",Neutral
844,"I absolutely love this product, it works great!",Positive
845,"Worst decision ever, I would not recommend this.",Negative
846,"This was a terrible experience, I regret it completely.",Negative
847,"I absolutely love this product, it works great!",Positive
848,"This was a terrible experience, I regret it completely.",Negative
849,Highly recommended! Exceeded my expectations.,Positive
850,"Decent quality, but nothing extraordinary.",Neutral
851,"I am extremely disappointed, this product is awful.",Negative
852,"I absolutely love this product, it works great!",Positive
853,"A total waste of money, do not buy this.",Negative
854,Highly recommended! Exceeded my expectations.,Positive
855,"Decent quality, but nothing extraordinary.",Neutral
856,"I absolutely love this product, it works great!",Positive
857,"I absolutely love this product, it works great!",Positive
858,"An average experience, not much to say.",Neutral
859,"An average experience, not much to say.",Neutral
860,Highly recommended! Exceeded my expectations.,Positive
861,"A total waste of money, do not buy this.",Negative
862,"Poor quality and bad service, not worth the money.",Negative
863,"A total waste of money, do not buy this.",Negative
864,"Decent quality, but nothing extraordinary.",Neutral
865,"I absolutely love this product, it works great!",Positive
866,"Worst decision ever, I would not recommend this.",Negative
867,"It's okay, nothing special but not bad either.",Neutral
868,"I absolutely love this product, it works great!",Positive
869,"Fantastic quality, I will definitely buy again.",Positive
870,"A total waste of money, do not buy this.",Negative
871,"This was a terrible experience, I regret it completely.",Negative
872,"Neither good nor bad, just a normal experience.",Neutral
873,"I am extremely disappointed, this product is awful.",Negative
874,"Neither good nor bad, just a normal experience.",Neutral
875,"Decent quality, but nothing extraordinary.",Neutral
876,"I am extremely disappointed, this product is awful.",Negative
877,"Neither good nor bad, just a normal experience.",Neutral
878,"It's okay, nothing special but not bad either.",Neutral
879,"Decent quality, but nothing extraordinary.",Neutral
880,"This was a terrible experience, I regret it completely.",Negative
881,"Neither good nor bad, just a normal experience.",Neutral
882,"It's okay, nothing special but not bad either.",Neutral
883,"Poor quality and bad service, not worth the money.",Negative
884,"An average experience, not much to say.",Neutral
885,This is the best purchase I have made in a long time.,Positive
886,This is the best purchase I have made in a long time.,Positive
887,Highly recommended! Exceeded my expectations.,Positive
888,"This was a terrible experience, I regret it completely.",Negative
889,"A total waste of money, do not buy this.",Negative
890,"The service was outstanding, I am very satisfied.",Positive
891,"A total waste of money, do not buy this.",Negative
892,This is the best purchase I have made in a long time.,Positive
893,"I absolutely love this product, it works great!",Positive
894,"A total waste of money, do not buy this.",Negative
895,"Fantastic quality, I will definitely buy again.",Positive
896,"Worst decision ever, I would not recommend this.",Negative
897,"Neither good nor bad, just a normal experience.",Neutral
898,"A total waste of money, do not buy this.",Negative
899,"I absolutely love this product, it works great!",Positive
900,"An average experience, not much to say.",Neutral
901,"The product is average, works as expected.",Neutral
902,"Neither good nor bad, just a normal experience.",Neutral
903,This is the best purchase I have made in a long time.,Positive
904,"Decent quality, but nothing extraordinary.",Neutral
905,"This was a terrible experience, I regret it completely.",Negative
906,"Worst decision ever, I would not recommend this.",Negative
907,"A total waste of money, do not buy this.",Negative
908,Highly recommended! Exceeded my expectations.,Positive
909,"The service was outstanding, I am very satisfied.",Positive
910,"Worst decision ever, I would not recommend this.",Negative
911,"An average experience, not much to say.",Neutral
912,"This was a terrible experience, I regret it completely.",Negative
913,"Fantastic quality, I will definitely buy again.",Positive
914,Highly recommended! Exceeded my expectations.,Positive
915,"The service was outstanding, I am very satisfied.",Positive
916,"It's okay, nothing special but not bad either.",Neutral
917,"Fantastic quality, I will definitely buy again.",Positive
918,"I absolutely love this product, it works great!",Positive
919,"Worst decision ever, I would not recommend this.",Negative
920,"I am extremely disappointed, this product is awful.",Negative
921,"I absolutely love this product, it works great!",Positive
922,"The product is average, works as expected.",Neutral
923,"The service was outstanding, I am very satisfied.",Positive
924,This is the best purchase I have made in a long time.,Positive
925,"The product is average, works as expected.",Neutral
926,"An average experience, not much to say.",Neutral
927,"Poor quality and bad service, not worth the money.",Negative
928,"I am extremely disappointed, this product is awful.",Negative
929,Highly recommended! Exceeded my expectations.,Positive
930,"The product is average, works as expected.",Neutral
931,"An average experience, not much to say.",Neutral
932,This is the best purchase I have made in a long time.,Positive
933,This is the best purchase I have made in a long time.,Positive
934,"Decent quality, but nothing extraordinary.",Neutral
935,This is the best purchase I have made in a long time.,Positive
936,"I am extremely disappointed, this product is awful.",Negative
937,Highly recommended! Exceeded my expectations.,Positive
938,"Fantastic quality, I will definitely buy again.",Positive
939,Highly recommended! Exceeded my expectations.,Positive
940,This is the best purchase I have made in a long time.,Positive
941,"This was a terrible experience, I regret it completely.",Negative
942,"This was a terrible experience, I regret it completely.",Negative
943,"Fantastic quality, I will definitely buy again.",Positive
944,"Decent quality, but nothing extraordinary.",Neutral
945,"This was a terrible experience, I regret it completely.",Negative
946,"Neither good nor bad, just a normal experience.",Neutral
947,"The service was outstanding, I am very satisfied.",Positive
948,"Poor quality and bad service, not worth the money.",Negative
949,"Neither good nor bad, just a normal experience.",Neutral
950,"I absolutely love this product, it works great!",Positive
951,"I am extremely disappointed, this product is awful.",Negative
952,"Poor quality and bad service, not worth the money.",Negative
953,This is the best purchase I have made in a long time.,Positive
954,"This was a terrible experience, I regret it completely.",Negative
955,"A total waste of money, do not buy this.",Negative
956,"The product is average, works as expected.",Neutral
957,"Worst decision ever, I would not recommend this.",Negative
958,"An average experience, not much to say.",Neutral
959,"A total waste of money, do not buy this.",Negative
960,"Poor quality and bad service, not worth the money.",Negative
961,"A total waste of money, do not buy this.",Negative
962,Highly recommended! Exceeded my expectations.,Positive
963,"The product is average, works as expected.",Neutral
964,Highly recommended! Exceeded my expectations.,Positive
965,"I am extremely disappointed, this product is awful.",Negative
966,"Poor quality and bad service, not worth the money.",Negative
967,"Decent quality, but nothing extraordinary.",Neutral
968,"Fantastic quality, I will definitely buy again.",Positive
969,"Neither good nor bad, just a normal experience.",Neutral
970,"The product is average, works as expected.",Neutral
971,"I am extremely disappointed, this product is awful.",Negative
972,"It's okay, nothing special but not bad either.",Neutral
973,"Worst decision ever, I would not recommend this.",Negative
974,"I absolutely love this product, it works great!",Positive
975,This is the best purchase I have made in a long time.,Positive
976,"Worst decision ever, I would not recommend this.",Negative
977,"Poor quality and bad service, not worth the money.",Negative
978,"I absolutely love this product, it works great!",Positive
979,"A total waste of money, do not buy this.",Negative
980,"Neither good nor bad, just a normal experience.",Neutral
981,"Fantastic quality, I will definitely buy again.",Positive
982,"Decent quality, but nothing extraordinary.",Neutral
983,Highly recommended! Exceeded my expectations.,Positive
984,"This was a terrible experience, I regret it completely.",Negative
985,"Neither good nor bad, just a normal experience.",Neutral
986,"I am extremely disappointed, this product is awful.",Negative
987,"A total waste of money, do not buy this.",Negative
988,Highly recommended! Exceeded my expectations.,Positive
989,This is the best purchase I have made in a long time.,Positive
990,"Poor quality and bad service, not worth the money.",Negative
991,This is the best purchase I have made in a long time.,Positive
992,"Poor quality and bad service, not worth the money.",Negative
993,"An average experience, not much to say.",Neutral
994,"Worst decision ever, I would not recommend this.",Negative
995,"The product is average, works as expected.",Neutral
996,"It's okay, nothing special but not bad either.",Neutral
997,"It's okay, nothing special but not bad either.",Neutral
998,"Poor quality and bad service, not worth the money.",Negative
999,"A total waste of money, do not buy this.",Negative
1000,"I absolutely love this product, it works great!",Positive
